Question,Content
How can I go about cook sausage and potato crumble?,"preparation time: 3 minutes cooking time: 7 minutes portions: 4 ingredients: 500g sausage, finely chopped 3 potatoes, peeled and cut into small cubes oil spray 1 yellow onion, peeled and finely chopped salt, pepper and herbs to pleasure procedure: heat the fryer oiled with the spray to 180 degrees and cook the potatoes and onion. after 4 minutes of cooking, add the sausage, salt, pepper and aromatic herbs, mix and leave to cook until the sausage is ready. pour the crumbled mixture onto the plates and serve. Enjoy your meal! nutrients: fat 12, fiber 7, carbohydrates 18, proteins 12, calories 272"
How do you cook boiled eggs stuffed with tuna?,"preparation time: 3 minutes cooking time: 7 minutes portions: 2 ingredients: 4 eggs 160g of natural canned tuna 70g of mayonnaise 1 tablespoon of capers procedure: place the eggs in 0.5l of cold water in the basket fryer, bring to the boil and boil for 7 minutes. in the meantime, mix the tuna with the mayonnaise and chives. Shell the eggs, cut them in half, take the yolk with a spoon and mix it with the tuna mix. add a spoonful of the mix to the center of the egg white. Enjoy your meal! nutrients: fat 6, fiber 8, carbohydrates 9, protein 6, calories 182"
How do you cook a pan with radicchio and pine nuts?,"preparation time: 4 minutes cooking time: 5-6 minutes portions: 4 ingredients: 1 head of radicchio, finely chopped ½ red onion 100g of pine nuts oil spray salt and pepper to taste. procedure: grease the fryer, heat it to 180 degrees and toast the pine nuts for 2 minutes. add the radicchio and onion and cook for 3-4 minutes. place the pan in a bowl, season with salt and pepper, mix and serve. Enjoy your meal! nutrients: fat 2, fiber 5, carbohydrates 10, protein 6, calories 140"
What’s involved in cook popcorn?,"preparation time: 0 minutes cooking time: 5 minutes portions: 4 ingredients: 3 tablespoons of raw corn kernels a pinch of salt oil spray procedure: grease the fryer with oil spray and heat to 180 degrees. add the corn and cook for 5 minutes. put the popcorn in a bowl, add salt, mix and serve. Enjoy your meal! nutrients: fat 6, fiber 5, carbohydrates 14, protein 6, calories 240"
How do I cook potato croquettes?,"preparation time: 4 minutes cooking time: 5 minutes portions: 4 ingredients: 300g potatoes, boiled and mashed 1 egg, beaten 100g grated parmesan 1 teaspoon parsley 1 tablespoon breadcrumbs 1 pinch of salt method: mix the mashed potatoes with the egg, parmesan, breadcrumbs, parsley and salt, and form croquettes with the mixture (you can add breadcrumbs to make them more compact). cook the croquettes at 200 degrees until an external crust is created. serve on a plate. Enjoy your meal! nutrients: fat 4, fiber 8, carbohydrates 16, protein 4, calories 250"
What are the instructions to prepare What are the best ways to cook pumpkin chips?,"preparation time: 2 minutes cooking time: 6 minutes portions: 4 ingredients: 1 small pumpkin, cut into very thin square slices oil in spray rosemary and salt to taste procedure: place the pumpkin squares in the fryer preheated to 180 degrees and oiled and cook for 2-3 minutes on each side. transfer to a plate, season with rosemary and salt and serve. Enjoy your meal! nutrients: fat 6, fiber 9, carbohydrates 10, protein 2, calories 142"
How do I cook a savory smoothie?,"preparation time: 4 minutes cooking time: 5 minutes portions: 6 ingredients: 300g sweet potatoes, peeled, cooked and mashed 600g carrots, cooked and mashed salt to taste 150g diced bacon 1.5l vegetable broth 200ml of cooking cream procedure: in a bowl, blend the potatoes, carrots, broth and salt with the mixer. cook the bacon for 5 minutes at 180 degrees in the fryer. pour the potato mix into glasses, add the cream on top, add the bacon and serve. Enjoy your meal! nutrients: fat 8, fiber 9, carbohydrates 14, proteins 4, calories 286"
What are some ways to cook an omelette roll?,"preparation time: 3 minutes cooking time: 5 minutes portions: 3 ingredients: 4 eggs oregano, mint and sage chopped to taste oil spray 80g of cooked ham a handful of parmesan flakes salt to taste procedure: mix the eggs in a bowl , herbs and salt, cook the omelette in the oiled fryer at 160 degrees for 5 minutes. place the omelette on a plate and let it cool, then place the ham and parmesan flakes on top, roll it up delicately and wrap it in aluminum foil until it is solid. once solid, remove the foil, cut into slices and serve. Enjoy your meal! nutrients: fat 8, fiber 9, carbohydrates 12, proteins 6, calories 260"
What is required to cook courgettes?,"preparation time: 5 minutes cooking time: 3 minutes portions: 3 ingredients: 2 courgettes, cut into long strips (like ""spaghetti"") 1 clove of garlic, cut in half spices to taste (oregano, parsley) 1 tablespoon of oil of olive juice of ½ lemon 100g of crushed pistachio salt and black pepper to taste procedure: toast the pistachio in the fryer at 180 degrees. for 3 minutes. in the meantime, place the courgette spaghetti in a pan, add the oil, garlic and lemon, then mix. sprinkle the toasted pistachio over the courgettes, add the salt and pepper and divide among the plates as a side dish. Enjoy your meal! nutrients: fat 4, fiber 7, carbohydrates 10, proteins 5, calories 140"
Can you show me how to prepare What is the best way to cook olive pâté for crostini?,"preparation time: 4 minutes cooking time: 3 minutes portions: 3 ingredients: 3 slices of wholemeal bread 100g of green olives a spoonful of olive oil ½ clove of minced garlic salt to taste procedure: toast the bread at 150 degrees for 3 minutes. in the meantime, blend the olives, garlic and oil with an immersion blender. divide the bruschetta between the plates, spread the pâté on top, add salt to taste and serve. nutrients: fat 10, fiber 8, carbohydrates 10, protein 4, calories 250"
What is a good recipe to cook a light french fries?,"preparation time: 5 minutes cooking time: 5-6 minutes portions: 2 ingredients: 4 potatoes, with or without peel and cut into very fine slices oil in spray salt and rosemary to taste. procedure: heat the lightly oiled fryer to 200 degrees. Pour the potato slices into the fryer and cook until they are golden on both sides. pour the potatoes into a bowl with absorbent paper, add salt and rosemary, sauté the potatoes, remove the absorbent paper and serve. Enjoy your meal! nutrients: fat 8, fiber 6, carbohydrates 10, proteins 7, calories 248"
How is guacamole with pistachio typically make?,"preparation time: 2 minutes cooking time: 5 minutes portions: 3 ingredients: pulp of an avocado 1 tomato, finely chopped juice of ½ lime ½ teaspoon chilli powder a handful of chopped pistachio ½ onion, finely chopped salt and pepper to taste pleasure tortillas to accompany procedure: toast the pistachio at 180 degrees for 3 minutes. in the meantime, chop the avocado, tomato, lime juice, chilli pepper, onion, salt and pepper with the immersion blender. put the pistachio in the guacamole, mix and serve with tortillas on the side, enjoy your meal! nutrients: fat 6, fiber 10, carbohydrates 12, protein 10, calories 180"
What is the best way to cook a rolled hot dog?,"preparation time: 2 minutes cooking time: 5 minutes portions: 4 hot dogs ingredients: 1 sheet of rectangular shortcrust pastry 4 frankfurters sauce to taste procedure: cut the shortcrust pastry into strips and roll up the frankfurters with each strip. cook the hot dogs for 5 minutes in the fryer preheated to 180 degrees. Serve with sauce to taste on the side. Enjoy your meal! nutrients: fat 5, fiber 3, carbohydrates 9, protein 7, calories 170"
Could you outline a recipe for make a salad with mango?,"preparation time: 5 minutes cooking time: 4 minutes portions: 3 ingredients: 2 mangoes, cut into very thin slices (you can use a potato peeler) 1 red onion, finely chopped 50g brown sugar 1 tablespoon apple cider vinegar oil spray salt and pepper to taste procedure: blanch the onion in the oiled fryer at 140 degrees for 4 minutes. in the meantime, mix the mango, sugar, vinegar, salt and pepper in the bowl. add the onion, mix and serve. Enjoy your meal! nutrients: fat 3, fiber 6, carbohydrates 13, protein 5, calories 226"
Can you detail the process for cook crunchy mushroom mix?,"preparation time: 2 minutes cooking time: 5 minutes portions: 3 ingredients: 400g mushrooms in oil, drained 3 slices of wholemeal crackers, crumbled 1 egg 2 tablespoons parmesan, grated a pinch of salt and black pepper procedure: in a bowl, combine the crackers with egg white, parmesan, sauce, butter, salt and pepper, mix well and add the mushrooms, mixing again. Place the mushrooms in the fryer and cook them at 180 degrees for 5 minutes. Divide between plates and serve as a side dish. Enjoy your meal! nutrients: fat 4, fiber 4, carbohydrates 7, proteins 3, calories 194"
How do I cook spicy piadina?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 1 piadina 6-8 slices of spicy salami 3 slices of provola salt, oregano and pepper to taste procedure: heat the piadina to 180 degrees, turning it once time and adding the provola slices to melt them. place the piadina on a plate, add the spicy salami, salt, oregano and pepper, divide in half and serve. Enjoy your meal! nutrients: fat 8, fiber 10, carbohydrates 14, proteins 9, calories 290"
Can you walk me through make an omelet?,"preparation time: 2 minutes cooking time: 5 minutes portions: 4 ingredients: 4 eggs 2 slices of cooked ham 2 slices of cheese salt and black pepper to taste oil spray procedure: in a bowl, mix the eggs, salt and pepper and cook them in the oiled fryer at 160 degrees for 4 minutes. pour the eggs into the oiled fryer preheated to 150 degrees, cook for 3 minutes. add the ham and cheese over the omelette, fold in half and let the cheese melt for 1 minute. Divide the omelette between plates and serve. Enjoy your meal! nutrients: fat 6, fiber 4, carbohydrates 12, proteins 8, calories 207"
How do I cook bruschetta with tartare?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: 2 slices of bread 200g of beef tartare 100g of raw courgettes, marinated in oil and lemon 2 sprigs of valerian salt and black pepper to taste 2 half lemons, to plate procedure: toast the bread in the air fryer for 4 minutes at 180 degrees. place the bread on plates, add the tartare and a spoonful of marinated courgettes on top, decorate with a sprig of valerian and serve with ½ lemon per plate. Enjoy your meal! nutrients: fat 6, fiber 9, carbohydrates 12, proteins 10, calories 182"
What are the best practices for cook croutons for soup?,"preparation time: 4 minutes cooking time: 4 minutes portions: 2 ingredients: 100g wholemeal bread, cut into cubes 1 teaspoon garlic powder oil in spray rosemary and salt to taste procedure: mix the bread cubes with garlic, rosemary and salt and toast them in the oiled fryer for 3-4 minutes at 180 degrees. place the croutons in a bowl with absorbent paper, then serve alongside the soup. Enjoy your meal! nutrients: fat 2, fiber 10, carbohydrates 14, protein 4, calories 211"
Could you explain how to prepare What is the best way to cook cream cheese?,"preparation time: 6 minutes cooking time: 2 minutes portions: 6 ingredients: 450g cream cheese 80ml non-alcoholic beer 200g grated parmesan two handfuls of pretzels, coarsely crumbled salt to taste procedure: melt the cream cheese in the fryer at 160 degrees. in the meantime, mix the other ingredients in a bowl. add the melted cheese to the mix, mix and serve while still hot, enjoy your meal! nutrients: fat 8, fiber 8, carbohydrates 12, proteins 5, calories 254"
How do I cook crackers in ranch dressing?,"preparation time: 5 minutes cooking time: 4 minutes portions: 8 ingredients: 100ml canola oil ½ teaspoon chopped dill 30g ranch salad dressing 1 pack of crackers procedure: mix dill, ranch dressing and oil in a bowl and spread the mix on each cracker and place them in the fryer at 180 degrees for 4 minutes. let the crackers cool and serve them. Enjoy your meal! nutrients: fat 10, fiber 8, carbohydrates 15, protein 4, calories 301"
What process should I follow to prepare What is the best way to cook fennel au gratin?,"preparation time: 2 minutes cooking time: 5 minutes portions: 3 ingredients: 500g of fennel, cut into thin slices and boiled 20g of grated parmesan ¼ teaspoon of lemon juice 1 knob of butter 200ml of béchamel sauce salt and pepper to taste 1 tablespoon of nutmeg procedure: melt the butter at 160 degrees in the fryer and cook the fennel for 5 minutes together with the béchamel and mixing well, adding nutmeg, salt and pepper halfway through cooking and stirring. Pour the fennel onto the plates and serve. Enjoy your meal! nutrients: fat 9, fiber 11, carbohydrates 8, protein 6, calories 200"
How do you cook a flavored tomato?,"preparation time: 4 minutes cooking time: 3 minutes servings: 4 ingredients: 4 large tomatoes, diced salt and black pepper to taste 1 tablespoon olive oil 1 clove of garlic, chopped 2 slices wholemeal bread, diced ½ teaspoon thyme, chopped procedure: In the air fryer, toast the bread cubes at 350 degrees for 3 minutes. in the meantime, mix tomatoes, oil, garlic, thyme, salt and pepper. add the bread cubes over the tomatoes, mix and serve. Enjoy your meal! nutrients: fat 5, fiber 3, carbohydrates 9, protein 4, calories 210"
Could you provide a step-by-step guide to prepare How do you cook breaded fish sticks?,"preparation time: 2 minutes cooking time: 7 minutes portions: 4 ingredients: 300g breaded fish fingers, defrosted 1 tablespoon paprika parsley to taste, finely chopped oil spray salt and pepper to taste lemon slices to serve a handful of sesame seeds procedure: grease the fryer with oil, put the sticks in and cook them at 180 degrees until they are cooked inside, adding halfway cooking parsley, paprika, salt, pepper and sesame seeds. transfer the sticks to plates and serve with the lemon on the side. Enjoy your meal! nutrients: fat 4, fiber 3, carbohydrates 11, proteins 10, calories 191"
How do you cook puff pastry asparagus?,"preparation time: 4 minutes cooking time: 7 minutes portions: 4 ingredients: 8 green asparagus, boiled and without the white part of the stems 1 sheet of rectangular puff pastry 4 slices of cooked ham 2 eggs a handful of sesame seeds salt to pleasure procedure: roll the ham on the asparagus, cut the puff pastry into 3cm long strips and wrap them around the ham. in a bowl, mix the eggs, sesame seeds and salt, spread this egg mix on the puff pastry and place in the fryer to heat for 7 minutes at 160 degrees. Divide the asparagus between plates and serve. Enjoy your meal! nutrients: fat 5, fiber 8, carbohydrates 14, protein 9, calories 202"
How would you recommend cook chocolate popcorn?,"preparation time: 2 minutes cooking time: 4 minutes portions: 4 ingredients: 30g of raw corn kernels 60g of dark chocolate 15g of butter salt to taste. procedure: cook the corn in the fryer at 180 degrees until almost all the grains explode. in the meantime, melt the chocolate and butter in a bain-marie. pour the popcorn into a bowl, pour the melted chocolate over it, mix and let cool. divide between plates and serve. Enjoy your meal! nutrients: fat 10, fiber 3, carbohydrates 20, protein 4, calories 300"
What is the best way to cook vegan sandwich?,"preparation time: 2 minutes cooking time: 6 minutes portions: 1 ingredients: a drizzle of olive oil 100g kale, shredded a pinch of salt and black pepper 2 tablespoons of pumpkin seeds ½ teaspoon of chili pepper, dried and crushed 1 1/2 tablespoons avocado pulp half a lemon, juiced 1 slice avocado 1 sandwich, cut in half horizontally procedure: heat the fryer with the oil to about 180 degrees, add the cabbage, salt, pepper, pumpkin seeds and chilli, mix, cover and cook for 6 minutes. in the meantime, heat the bread slightly in a pan. mix the avocado with the lemon and spread the mixture on each half of the sandwich, add the avocado slice, the cabbage mixture, cover with the other half of the sandwich and serve. Enjoy your meal! nutrients: fat 4, fiber 7, carbohydrates 12, proteins 5, calories 172"
How do I successfully cook hash brown potatoes?,"preparation time: 3 minutes cooking time: 6 minutes portions: 4 ingredients: 500g yellow potatoes, washed and peeled 50g potato starch 1 teaspoon sweet paprika 1 teaspoon garlic powder oil spray salt and pepper to pleasure procedure: with a grater with large holes, grate the potatoes. put the potatoes in a bowl, add starch, paprika, garlic, salt and pepper and mix. cook a ladle of the mixture in the oiled fryer at 180 degrees, repeat with the rest of the mixture and cook for 6 minutes. serve the meatballs on a plate. Enjoy your meal! nutrients: fat 3, fiber 8, carbohydrates 12, protein 4, calories 259"
How should I prepare What is the best way to cook pitas?,"preparation time: 2 minutes cooking time: 6 minutes servings: 4 ingredients: 4 pitas 1 tablespoon olive oil 200ml tomato sauce 120g mushrooms, sliced ​​½ teaspoon basil, dried 300g mozzarella, grated 150g of cherry tomatoes, sliced ​​procedure: spread the tomato sauce on each pita, sprinkle the basil, add the mushrooms and garnish with cheese. arrange the pitas in your air fryer and leave them at 180 degrees for 6 minutes. cover each pita with tomato slices, divide between plates and serve. Enjoy your meal! nutrients: fat 4, fiber 6, carbohydrates 7, protein 3, calories 200"
Can you show me how to prepare How do you cook battered vegetables?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: 200g of beer batter 150g of courgettes and carrots cut into sticks salt and black pepper to taste procedure: dip the vegetables in the beer batter and cook them in the fryer lined at 200 degrees. pour into a bowl, add salt and pepper, mix and serve. Enjoy your meal! nutrients: fat 3, fiber 3, carbohydrates 20, protein 4, calories 230"
"What are the best practices for cook courgette , ham and robiola rolls?","preparation time: 5 minutes cooking time: 5 minutes portions: 12 pieces ingredients: 2 courgettes, cut vertically into long, thin strips (you can use a mandolin) 120g raw ham 100g robiola salt, pepper and chives to taste procedure : cook the courgettes at 180 degrees in the fryer without oil for 5 minutes. in the meantime, mix robiola, salt, pepper and chives in a bowl. place the cooked courgettes on a shelf, spread the robiola mix over them and place a slice of ham, roll everything up and serve. Enjoy your meal! nutrients: fat 5, fiber 9, carbohydrates 10, protein 12, calories 231"
What is a good recipe to prepare What is the best way to cook vegan piadina?,"preparation time: 2 minutes cooking time: 5 minutes portions: 2 ingredients: 1 piadina 1 courgette, cut vertically into long strips 70g of stracchino oregano, salt and pepper to taste procedure: cook at 180 degrees for 5 minutes in the fryer. in the meantime, heat the piadina in a pan. put the piadina on the plate, spread the stracchino on it, add the courgettes, season, cut in half and serve. Enjoy your meal! nutrients: fat 2, fiber 8, carbohydrates 15, protein 10, calories 210"
How do you cook croutons with bacon?,"preparation time: 2 minutes cooking time: 4 minutes portions: 4 ingredients: 4 slices of bread, toasted 70g diced bacon 4 thin slices of cheese 60g rocket procedure: bring the fryer to 180 degrees and cook the bacon for 5 minutes. add the cheese on the toasted bread, add arugula and crispy bacon and serve immediately, enjoy your meal! nutrients: fat 8, fiber 4, carbohydrates 7, protein 4, calories 250"
What is the best way to cook aubergine meatballs?,"preparation time: 4 minutes cooking time: 5 minutes portions: 2 ingredients: 1 aubergine, peeled, cooked and chopped with the mixer 1 egg 2 tablespoons grated cheese 2 tablespoons breadcrumbs salt, pepper and aromatic herbs to taste oil spray procedure: mix all the ingredients well and form balls with the mixture (you can add breadcrumbs to make them more compact) place the balls in the oiled and preheated fryer at 180 degrees and cook for 5 minutes. pour onto plates and serve. Enjoy your meal! nutrients: fat 9, fiber 7, carbohydrates 14, protein 5, calories 250"
What is required to prepare What are some ways to cook polenta and sausage skewers?,"preparation time: 2 minutes cooking time: 5 minutes portions: 2 ingredients: 100g polenta, cut into cubes 2 chicken sausages, cut into medium pieces salt, fennel seeds and pepper to taste skewer sticks oregano, salt and pepper to taste procedure: cook the polenta and sausage in the fryer preheated to 180 degrees until the sausage is ready, add the polenta and sausage on a plate, skewer them, alternating them, season with salt, fennel and pepper and serve, enjoy your meal! nutrients: fat 5, fiber 8, carbohydrates 11, protein 10, calories 210"
What are the necessary steps to prepare What is the best way to cook a toasted salad?,"preparation time: 3 minutes cooking time: 4 minutes portions: 2 ingredients: 120g of salad 1 tablespoon of olive oil 40g of pumpkin seeds 40g of toasted almonds 70g of diced bacon 50 gr. of pesto procedure: cook the bacon for 4 minutes in the fryer at 180 degrees. in the meantime, mix the salad with the pumpkin seeds, toasted almonds and pesto. add the bacon to the salad, mix and serve. Enjoy your meal! nutrients: fat 8, fiber 11, carbohydrates 12, proteins 4, calories 200"
How do I cook fried dumplings?,"preparation time: 2 minutes cooking time: 5 minutes portions: 2 ingredients: 100 grams of fresh potato gnocchi oil spray a pinch of salt smoked paprika skewer sticks procedure: delicately mix the gnocchi with the salt and paprika and place cook everything in the oiled fryer at 180 degrees for 5 minutes. place the gnocchi in a parcel and serve with a skewer stick. Enjoy your meal! nutrients: fat 5, fiber 8, carbohydrates 14, protein 6, calories 280"
What is a good recipe to prepare Can you make a prawn cocktail?,"preparation time: 2 minutes + rest in the fridge cooking time: 0 minutes portions: 4 ingredients: 16 prawns, cleaned and peeled 150g of mayonnaise 100g of cocktail sauce 1 drop of tabasco 2 lettuce leaves, finely chopped 4 slices of lemon procedure : boil the water at 120 degrees in the fryer and blanch the prawns for a few seconds (just enough time curl). in the meantime, mix mayonnaise, cocktail sauce and Tabasco in a bowl. Place the chopped lettuce in cocktail glasses, pour in the sauce, add the prawns and a slice of lemon and serve. Enjoy your meal! nutrients: fat 20, fiber 8, carbohydrates 18, protein 13, calories 320"
How do I cook chicken nuggets?,"preparation time: 3 minutes cooking time: 5-7 minutes portions: 2 ingredients: 300g chicken breast, cut into medium pieces 1 egg oil spray 2 tablespoons flour 80g corn flakes, broken into small pieces salt to taste sauce procedure as desired: prepare three bowls, place the flour in one, the beaten egg in the second and the corn flakes in the third. Dip the chicken pieces first in the flour, then in the egg and finally in the corn flakes. place the chicken in an oiled air fryer heated to 180 degrees and cook them until they are cooked inside and golden brown on the outside. pour the morsels into paper parcels, add the sauce and serve with a skewer to skewer them. Enjoy your meal! nutrients: fat 3, fiber 10, carbohydrates 14, protein 10, calories 261"
How do you approach cook fennel with chilli?,"preparation time: 2 minutes cooking time: 6 minutes portions: 2 ingredients: 400g fennel, thinly sliced ​​3 tbsp breadcrumbs oil spray 1 chilli pepper, cut into small pieces 1 tbsp chilli powder 1 tsp garlic chopped salt and black pepper to taste procedure: preheat the oiled fryer to 180 degrees. Meanwhile, mix the fennel with all the ingredients mentioned above, except the oil used for the fryer. add the fennel to the fryer and cook for 6 minutes, stirring halfway through cooking. serve them, adding salt to taste, as a side dish. Enjoy your meal! nutrients: fat 3, fiber 8, carbohydrates 8, protein 4, calories 121"
What is the best way to cook inverted caprese?,"preparation time: 4 minutes cooking time: 3 minutes portions: 3 ingredients: 3 mozzarella 80g cherry tomato, cut into small cubes basil to taste flaked almonds oil, salt and pepper to taste. procedure: toast the almonds at 180 degrees for 3 minutes. in the meantime, cut a slice of mozzarella and create a space inside to insert the tomato mix. mix the tomato, the heart of the mozzarella, basil, oil, salt and pepper and toasted almonds in a bowl. insert the tomato mix inside the mozzarella, add a drizzle of oil and serve. Enjoy your meal! nutrients: fat 12, fiber 9, carbohydrates 10, protein 6, calories 281"
How would you recommend cook mini appetizers?,"preparation time: 1 minute cooking time: 4 minutes portions: 4 ingredients: 4 slices of wholemeal bread 4 cherry tomatoes, cut in half 1 mozzarella, cut into rounds salt to taste 4 toothpicks 4 basil leaves procedure: thread one on a toothpick slice of bread, one of mozzarella, two half cherry tomatoes and a basil leaf, and repeat in the given order. insert the bruschetta into the fryer preheated to 150 degrees and cook for 4 minutes. Divide between plates and serve, seasoning with salt. Enjoy your meal! nutrients: fat 4, fiber 12, carbohydrates 12, protein 5, calories 280"
Could you guide me on prepare What is the best way to cook meatballs?,"preparation time: 4 minutes cooking time: 3-4 minutes portions: 2 ingredients: 300 gr. beef, minced 1 egg 2 tablespoons breadcrumbs oil spray salt to taste procedure: mix the beef well with the egg, breadcrumbs and salt and create meatballs with the mixture. Place the meatballs in the oiled fryer preheated to 180 degrees and cook for 4 minutes. serve the meatballs in a parcel with a skewer to skewer them. Enjoy your meal! nutrients: fat 14, fiber 1, carbohydrates 8, proteins 20, calories 253"
What are the guidelines for prepare What is the best way to serve yogurt salad with shrimp?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: 150g of low-fat plain yogurt 100g of cleaned and peeled prawns juice of 1 lemon salt, pepper and chives 2 tablespoons of olive oil 100g of radicchio cut into small pieces procedure: bring the water to the boil in the fryer at 120 degrees and immerse the prawns for 1 minute, then remove them and drain them. in the meantime, mix yogurt, oil, salt, chives and pepper in a small bowl. in a bowl, place the radicchio, the yogurt sauce, the prawns, mix, add the lemon and serve. Enjoy your meal! nutrients: fat 6, fiber 8, carbohydrates 10, protein 8, calories 181"
What process should I follow to prepare How do you cook a hot dog?,"prep time: 2 minutes cooking time: 4 minutes servings: 2 ingredients: 2 halved hot dog buns 2 hot dogs 1 tablespoon sweet mustard 2 tablespoons shredded cheddar cheese method: Cook the hot dogs in the air fryer preheated to 190 degrees for 2 minutes. add the hot dog bread with the grated cheese on top and let them cook together with the hot dogs for another 2 minutes. place the bread on plates, add the hot dogs on top and serve with mustard. Enjoy your meal! nutrients: fat 5, fiber 8, carbohydrates 14, protein 6, calories 191"
Can you detail the process for prepare What is the best way to cook caramelized popcorn?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 100g of corn kernels 100g of caramel sauce oil spray salt to taste procedure: place the corn kernels in the oiled fryer preheated to 180 degrees and cook them for make them explode. in the meantime, heat the caramel sauce in a saucepan to dissolve it well (you can add a spoonful of hot water to dilute it). pour the popcorn into a bowl, pour the caramel over it and the salt, mix with a ladle and serve hot. Enjoy your meal! nutrients: fat 5, fiber 9, carbohydrates 17, protein 8, calories 300"
How do I successfully prepare What is the best way to cook bruschetta?,"preparation time: 2 minutes cooking time: 5 minutes portions: 1 ingredients: 200g of sliced ​​bread 100g of raw ham 200g of figs 200g of robiola honey to taste. salt, pepper and chives to taste procedure: toast the bread at 180 degrees for 3 minutes. remove the bread, cut the figs into small segments and brush them with honey, then place them in the fryer at 180 degrees for 1 minute, blanching them. in the meantime, mix the robiola with chives, salt and pepper in a bowl, spread the mix on the slices of bread, add a slice of ham, add the figs and serve. Enjoy your meal! nutrients: fat 6, fiber 7, carbohydrates 19, proteins 5, calories 272"
What is the best way to cook aromatic pancakes?,"preparation time: 4 minutes cooking time: 5 minutes portions: 3 ingredients: a sheet of shortcrust pastry parsley, basil and rosemary to taste oil in spray salt to taste procedure: knead the shortcrust pastry well with the aromatic herbs, until they are not mixed. Form balls with this dough and place them in the oiled and preheated fryer at 180 for 5 minutes. place the pancakes in a paper cone and serve. Enjoy your meal! nutrients: fat 7, fiber 8, carbohydrates 12, proteins 4, calories 252"
What are the guidelines for cook spinach and pistachio salad?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: 70g of fresh spinach, chopped 1 apple, peeled and cut into small pieces a handful of chopped pistachios balsamic vinegar to taste procedure: cook the spinach at 160 degrees for 4 minutes with a spoonful of hot water in the meantime, toast the pistachio in a small pan. place the spinach in the bowls and add the chopped apple and pistachio on top. Pour in the vinegar and serve. Enjoy your meal! nutrients: fat 2, fiber 8, carbohydrates 8, protein 5, calories 130"
What techniques are used to prepare How do you cook stir-fried tofu?,"preparation time: 4 minutes cooking time: 2 minutes portions: 4 ingredients: 300g tofu, drained and cut into medium cubes 200g flour 1 ½ glasses of water 100g breadcrumbs a handful of sesame seeds chopped rosemary, salt pleasure oil in spray procedure: in a bowl, place the breadcrumbs with salt, sesame and rosemary, while in a second place the flour, salt and water. place each cube in the bowl with flour and water, then in the bowl with breadcrumbs and cook the tofu blocks in the oiled fryer at 180 degrees for 4 minutes. serve as a side dish. Enjoy your meal! nutrients: fat 6, fiber 12, carbohydrates 12, protein 6, calories 220"
How do you cook side potatoes?,"preparation time: 2 minutes cooking time: 5 minutes portions: 4 ingredients: 3 potatoes, cut into very fine slices oil in spray salt and rosemary to taste procedure: oil the fryer and heat it to 200 degrees, meanwhile season the potatoes with salt and rosemary and cook them in the fryer for 5 minutes. divide among plates and serve. Enjoy your meal! nutrients: fat 8, fiber 9, carbohydrates 18, proteins 7, calories 211"
How do you cook mushroom cream for crostini?,"preparation time: 4 minutes cooking time: 5 minutes portions: 4 ingredients: 500g canned button mushrooms, drained 100ml double cream 1 teaspoon garlic powder salt, pepper and parsley to taste 4 slices toasted bread, to serve procedure: heat the mushrooms for 5 minutes in the fryer at 160 degrees. place the mushrooms in a bowl and blend them with the immersion blender together with the cream, salt and pepper, garlic and parsley. put the cream in a jar and serve with toasted bread. Enjoy your meal! nutrients: fat 7, fiber 8, carbohydrates 14, proteins 6, calories 181"
How do I cook fried baby carrot?,"preparation time: 4 minutes cooking time: 4 minutes portions: 2 ingredients: 500g of carrots, cut into ""chips"" (long, narrow sticks) 2 tablespoons of sweet paprika 100g of grated parmesan, rosemary and salt to taste oil spray procedure: mix cheese, paprika and rosemary in a bowl. mix the carrots in this mix and cook them for 4 minutes at 180 degrees in the oiled fryer. put on plates, add salt and share. Enjoy your meal! nutrients: fat 5, fiber 8, carbohydrates 9, protein 7, calories 200"
What is a good recipe to prepare What is the best way to cook corn and cheese?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 100g of canned corn 100g of sliced ​​fresh cheese oil in spray a spoonful of parsley salt and pepper to taste procedure: melt the cheese in the oiled fryer at 150 degrees. Meanwhile, mix the corn with half the parsley, salt and pepper on a plate, add the melted cheese on top, put the rest of the parsley and serve as a side dish. Enjoy your meal! nutrients: fat 7, fiber 2, carbohydrates 6, protein 6, calories 170"
What steps are involved in prepare What is the best way to cook wholemeal croutons?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 150g wholemeal bread with seeds, cut into cubes oregano and rosemary to taste a pinch of salt and pepper procedure: in a bowl, mix the bread with the spices and pepper. add the cubes to the fryer and cook at 200 degrees for 3 minutes, season in a bowl with salt and serve. Enjoy your meal! nutrients: fat 2, fiber 6, carbohydrates 12, proteins 4, calories 182"
